Date,Code,Crime,Arrests
Jan-17,001,FELONY ASSAULT,3
Jan-17,001,FORCIBLE TOUCHING,1
Jan-17,001,MISCELLANEOUS PENAL LAW,1
Jan-17,001,SEX CRIMES,2
Jan-17,005,FORCIBLE TOUCHING,1
Jan-17,005,OFFENSES AGAINST THE PERSON,5
Jan-17,006,ROBBERY,1
Jan-17,010,DISORDERLY CONDUCT,1
Jan-17,013,ASSAULT 3 & RELATED OFFENSES,2
Jan-17,013,FORCIBLE TOUCHING,1
Jan-17,013,OFFENSES AGAINST THE PERSON,1
Jan-17,013,SEX CRIMES,4
Jan-17,014,ASSAULT 3 & RELATED OFFENSES,4
Jan-17,014,FELONY ASSAULT,3
Jan-17,014,FORCIBLE TOUCHING,3
Jan-17,014,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,4
Jan-17,014,SEX CRIMES,1
Jan-17,017,ASSAULT 3 & RELATED OFFENSES,1
Jan-17,017,DISORDERLY CONDUCT,1
Jan-17,017,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
Jan-17,017,SEX CRIMES,2
Jan-17,018,ASSAULT 3 & RELATED OFFENSES,2
Jan-17,018,FELONY ASSAULT,2
Jan-17,018,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
Jan-17,019,ASSAULT 3 & RELATED OFFENSES,1
Jan-17,020,ASSAULT 3 & RELATED OFFENSES,1
Jan-17,020,FORCIBLE TOUCHING,1
Jan-17,020,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
Jan-17,023,FELONY ASSAULT,1
Jan-17,024,ASSAULT 3 & RELATED OFFENSES,1
Jan-17,024,FORCIBLE TOUCHING,1
Jan-17,024,SEX CRIMES,1
Jan-17,025,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,1
Jan-17,026,ASSAULT 3 & RELATED OFFENSES,3
Jan-17,026,FELONY ASSAULT,4
Jan-17,030,ASSAULT 3 & RELATED OFFENSES,1
Jan-17,033,DISORDERLY CONDUCT,1
